Subject,filename,onsetF,ApexF
8,EP12_11_1,63,69
8,EP12_11_2,11,16
8,EP12_2_1,21,26
8,EP12_2_10,17,23
8,EP12_2_11,31,39
8,EP12_2_12,29,39
8,EP12_2_2,36,47
8,EP12_2_3,18,23
8,EP12_2_4,43,49
8,EP12_2_5,8,12
8,EP12_2_7,33,39
8,EP12_2_8,33,41
8,EP12_2_9,56,64
8,EP12_4_1,19,22
8,EP12_4_10,17,21
8,EP12_4_2,6,9
8,EP12_4_3,9,13
8,EP12_4_4,4,7
8,EP12_4_5,8,11
8,EP12_4_6,4,8
8,EP12_4_7,14,19
8,EP12_4_8,4,10
8,EP12_4_9,14,19
8,EP12_9,87,93
9,EP02_19,77,84
9,EP02_2,162,168
9,EP02_21,88,92
9,EP02_22,76,88
9,EP02_6,75,87
9,EP07,118,124
9,EP17,222,228
10,EP15_1,108,113
10,EP17_1_1,42,46
10,EP17_1_2,53,59
10,EP17_1_3,22,32
10,EP17_1_4,27,36
10,EP17_6,124,129
11,EP07_1,66,70
12,EP02_2,64,76
12,EP08_4,74,80
12,EP09_1,73,77
13,EP02_2,135,143
13,EP08_3,144,152
13,EP08_4,33,41
13,EP08_5,59,65
13,EP08_8,241,249
13,EP09_6,78,82
13,EP09_8,64,70
13,EP13_5,99,110
13,EP17_2,146,151
14,EP02_10,152,167
14,EP06_7,90,99
14,EP08_1,86,89
14,EP08_1,96,105
14,EP08_3,56,67
14,EP09_1,70,79
14,EP09_2,60,66
14,EP09_2,84,92
14,EP09_7,58,72
14,EP17_10,88,92
14,EP17_4,73,83
15,EP07_3,46,54
15,EP07_6,45,51
15,EP13_1,76,83
16,EP04,96,109
16,EP07_1,112,118
16,EP07_2,60,73
16,EP07_3,47,60
17,EP07_1,126,131
17,EP07_2,106,120
17,EP07_2,125,133
17,EP09_1,75,84
17,EP09_1,130,135
17,EP17_2,248,255
17,EP17_2,263,276
17,EP17_2,417,432
17,EP17_3,236,249
17,EP17_3,264,273
17,EP17_4,167,176
17,EP17_9,381,390
18,EP02_4,134,145
18,EP02_5,93,106
18,EP02_5,213,225
18,EP02_6,153,160
18,EP02_8,191,201
18,EP07,76,83
18,EP07_1,108,112
18,EP07_3,140,144
18,EP08_6,70,76
18,EP12,75,82
18,EP15_3,121,125
18,EP17_1,92,99
18,EP17_10,74,82
18,EP17_3,104,119
18,EP17_8,109,122
19,EP07_8,61,76
19,EP07_9,46,55
19,EP09_3,106,111
19,EP12_1,91,95
19,EP12_2,39,48
19,EP12_4,51,55
