Subject,filename,onsetF,ApexF
1,EP02_01f,46,59
1,EP03_02,131,139
1,EP04_02,21,54
1,EP04_03,31,41
1,EP04_04,23,49
1,EP19_01,26,49
1,EP19_03f,81,96
1,EP19_05f,396,416
1,EP19_06f,36,71
2,EP01_11f,46,91
2,EP02_04f,31,79
2,EP03_02f,16,81
2,EP06_01f,56,121
2,EP06_02f,36,64
2,EP08_04,16,69
2,EP09_01,26,56
2,EP09_06f,11,49
2,EP09_10,26,36
2,EP11_01,16,69
2,EP13_04,21,51
2,EP14_01,81,114
2,EP15_04,26,66
3,EP01_2,51,69
3,EP07_03,16,46
3,EP07_04,21,81
3,EP08_1,11,44
3,EP09_03,61,76
3,EP18_06,26,81
3,EP19_08,101,121
4,EP12_01f,261,291
4,EP12_02f,356,387
4,EP13_02f,51,81
4,EP13_06f,71,108
4,EP19_01f,191,209
5,EP02_07,36,66
5,EP03_01,41,81
5,EP03_06,33,66
5,EP03_07,41,64
5,EP04_05,16,44
5,EP04_06,6,49
5,EP05_03,51,71
5,EP05_09,49,94
5,EP06_10,85,116
5,EP07_01,49,66
5,EP08_05,6,39
5,EP09_05f,69,69
5,EP12_03f,11,36
5,EP12_06,46,76
5,EP13_04f,36,69
5,EP13_06,16,46
5,EP16_03f,39,81
5,EP16_04f,141,181
5,EP19_03,6,29
6,EP01_01,81,111
6,EP02_31,99,131
6,EP10_08,116,139
6,EP15_02,56,79
6,EP16_05,94,114
7,EP01_01,79,109
7,EP03_04,11,49
7,EP06_01,15,49
7,EP06_02_01,11,66
7,EP06_02_02,36,81
7,EP08_02,141,174
7,EP15_01,36,64
7,EP18_01,6,24
7,EP18_03,11,54
8,EP12_07f,26,74
8,EP12_08f,71,106
8,EP13_01f,49,86
9,EP02_01f,21,74
9,EP05_02,66,119
9,EP05_03,91,116
9,EP05_05,46,84
9,EP06_01f,66,144
9,EP06_02f,36,101
9,EP09_04,26,71
9,EP09_05,26,81
9,EP09f,26,64
9,EP13_01,31,74
9,EP13_02,71,96
9,EP15_05,56,91
9,EP17_08,6,41
9,EP18_03,11,39
10,EP06_01f,11,54
10,EP08_01f,76,114
10,EP10_01f,111,136
10,EP11_01,31,64
10,EP11_01f,36,64
10,EP12_02f,26,54
10,EP12_03f,26,81
10,EP12_04,61,101
10,EP13_01,11,59
10,EP13_02f,41,109
10,EP13_03f,11,46
10,EP16_02f,21,64
10,EP18_01f,11,44
10,EP19_04f,81,84
11,EP02_06f,71,96
11,EP08_01f,96,121
11,EP12_03f,91,141
11,EP13_02f,51,111
11,EP13_03f,6,49
11,EP13_05f,16,61
11,EP15_01f,56,89
11,EP15_04f,61,76
11,EP18_03f,56,106
11,EP19_03f,11,94
12,EP01_02,31,99
12,EP02_05,41,61
12,EP03_02,26,59
12,EP03_04,60,129
12,EP04_16,36,56
12,EP06_06,36,76
12,EP08_01,46,81
12,EP08_03,76,114
12,EP08_07,111,134
12,EP09_02,16,59
12,EP09_06,66,111
12,EP16_02,136,189
13,EP01_01,76,111
13,EP01_02,76,101
13,EP02_02,11,34
13,EP02_03,26,59
13,EP03_01,31,86
13,EP08_01,54,81
13,EP09_10,51,76
13,EP12_01,6,41
14,EP04_04f,11,44
14,EP09_03,6,29
14,EP09_04,21,71
14,EP09_06,11,59
15,EP03_02,16,49
15,EP04_02,21,46
15,EP08_02,21,54
16,EP01_05,66,106
16,EP01_08,73,94
16,EP01_09f,51,76
16,EP04_02f,181,269
17,EP01_06,81,86
17,EP01_13,76,134
17,EP01_15,86,101
17,EP02_01,91,119
17,EP02_03,81,109
17,EP02_11,161,181
17,EP02_18f,91,134
17,EP03_02,118,139
17,EP03_09,96,132
17,EP05_02,25,91
17,EP05_03,21,56
17,EP05_03f,11,59
17,EP05_04,6,39
17,EP05_09,121,144
17,EP05_10,111,129
17,EP06_04,71,91
17,EP06_07,216,225
17,EP06_08,156,194
17,EP07_01,21,71
17,EP08_02,21,66
17,EP08_03,51,69
17,EP10_06,104,121
17,EP11_01,9,31
17,EP11_02,36,81
17,EP12_03,131,156
17,EP13_01,146,164
17,EP13_03,51,79
17,EP13_04,86,104
17,EP13_06,86,109
17,EP13_09,6,46
17,EP15_01,81,104
17,EP15_03,319,338
17,EP15_04,109,131
17,EP15_05,21,49
17,EP16_01f,8,29
17,EP18_07,36,69
18,EP08_01,111,139
18,EP18_01,66,91
18,EP19_01,95,121
19,EP01_01f,121,189
19,EP01_02f,36,61
19,EP02_01,91,119
19,EP06_01f,146,174
19,EP06_02f,211,264
19,EP08_02,76,119
19,EP11_01f,61,81
19,EP11_04f,76,96
19,EP13_01,71,104
19,EP15_03f,51,81
19,EP16_01,86,109
19,EP16_02,61,79
19,EP19_01,66,86
19,EP19_02,106,129
19,EP19_03,61,91
19,EP19_04,46,69
20,EP01_03,76,101
20,EP03_02,45,74
20,EP06_03,31,49
20,EP07_04,96,116
20,EP10_02,131,166
20,EP12_01,41,104
20,EP13_02,71,109
20,EP15_03f,86,129
20,EP16_01,71,111
20,EP16_04,81,106
20,EP18_03,48,90
21,EP01_07,6,21
21,EP05_02,111,141
22,EP01_12,50,119
22,EP13_08,151,216
23,EP02_01,36,86
23,EP03_14f,51,91
23,EP04_03f,16,91
23,EP05_24f,106,141
23,EP05_25f,51,86
23,EP07_01,36,64
23,EP12_02f,46,84
23,EP12_03,86,129
23,EP13_03,36,56
23,EP13_04,21,41
23,EP13_07f,56,64
23,EP17_01,81,114
24,EP01_08,33,69
24,EP02_02f,71,94
24,EP07_01,24,41
24,EP07_04f,4,24
24,EP08_02,121,156
24,EP10_01f,131,149
24,EP10_02,101,121
24,EP10_03,334,356
24,EP12_01,81,99
24,EP18_03,53,76
25,EP03_01,56,81
25,EP03_02,51,101
25,EP09_02,76,101
25,EP10_01,101,129
25,EP10_10,61,91
25,EP12_01,131,151
25,EP18_04f,76,116
26,EP03_10,116,149
26,EP07_28,31,51
26,EP07_37,92,119
26,EP08_04,31,79
26,EP09_04,31,56
26,EP09_09,46,76
26,EP13_01,4,29
26,EP13_02,32,54
26,EP13_11,20,59
26,EP15_01,42,61
26,EP16_01,26,54
26,EP18_44,11,36
26,EP18_46,31,46
26,EP18_47,6,49
26,EP18_49,16,54
26,EP18_50,78,99
26,EP18_51,21,64
